Manufacturer,Dec_2025_Sales,Dec_2024_Sales
Cars Sales Snapshot In India For The Month Of December,2025,2025.0
Maruti Suzuki,178646,130115.0
Mahindra,50946,41424.0
Tata,50046,44221.0
Hyundai,42416,42208.0
Toyota,34159,24887.0
Kia,18659,8957.0
Mg,6500,7516.0
Honda,5807,6825.0
Skoda,5567,4554.0
Vw,4256,4787.0
Renault,3845,2881.0
Nissan,1902,2118.0
Citroen,1190,566.0
Jeep,292,286.0
Total Total,404231,321345.0
Citroen C,886,300.0
Citroen E C,100,
Citroen C,167,167.0
Citroen Basalt,104,104.0
Total Total,1190,566.0
Maruti Suzuki Hatchback Baleno,22108,9112.0
Maruti Suzuki Suv Fronx,20706,10752.0
Tata Suv Nexon,19375,13536.0
Maruti Suzuki Sedan Dzire,19072,16573.0
Maruti Suzuki Hatchback Swift,18767,10421.0
Maruti Suzuki Suv Brezza,17704,17336.0
Maruti Suzuki Muv Ertiga,16586,16056.0
Tata Suv Punch,15980,15073.0
Mahindra Suv Scorpio,15885,12195.0
Maruti Suzuki Hatchback Wagon R,14575,17303.0
Hyundai Suv Creta,13154,12608.0
Maruti Suzuki Van Eeco,11899,11678.0
Maruti Suzuki Hatchback Alto,10829,7410.0
Mahindra Suv Bolero,10611,5921.0
Hyundai Suv Venue,10322,10265.0
Toyota Muv Innova,9901,9700.0
Mahindra Suv Xuv,9422,7000.0
Kia Suv Sonet,9418,3337.0
Mahindra Suv Thar,9339,7659.0
Maruti Suzuki Suv Grand Vitara,8597,7093.0
Toyota Suv Hyryder,7022,4770.0
Toyota Hatchback Glanza,6451,3487.0
Maruti Suzuki Suv Victoris,6210,
Tata Hatchback Tiago,5826,5006.0
Hyundai Suv Exter,5612,5270.0
Fca Compass,140,175.0
Fca Meridian,116,116.0
Total Total,292,286.0
Honda Amaze,2575,3708.0
Honda City,943,783.0
Honda Elevate,2289,2334.0
Total,5807,6825.0
Hyundai Creta,13154,12608.0
Hyundai Venue,10322,10265.0
Hyundai Exter,5612,5270.0
Hyundai Grand I,4010,4489.0
Hyundai I,3339,3453.0
Hyundai Aura,4925,3852.0
Hyundai Verna,406,872.0
Hyundai Alcazar,579,1342.0
Hyundai Tucson Ie,100,100.0
Hyundai Ioniq,188,188.0
Total Total,42416,42208.0
Kia Seltos,4369,2830.0
Kia Carens,3681,2626.0
Kia Syros,1116,1116.0
Kia Sonet,9418,3337.0
Kia Ev,100,
Kia Carnival,103,
Total Total,18659,8957.0
Mahindra Scorpio,15885,12195.0
Mahindra Bolero,10611,5921.0
Mahindra Xuv,700,453.0
Mahindra Xuv,971,971.0
Mahindra Thar,9339,7659.0
Mahindra Xuv,9422,7000.0
Mahindra Xuv,400,1296.0
Mahindra,1481,1481.0
Mahindra Xev,2154,2154.0
Mahindra,491,491.0
Mahindra Marazzo,400,
Total Total,50946,41424.0
Maruti Suzuki Swift,18767,10421.0
Maruti Suzuki Baleno,22108,9112.0
Maruti Suzuki Vitara Brezza,17704,17336.0
Maruti Suzuki Ertiga,16586,16056.0
Maruti Suzuki Dzire,19072,16573.0
Maruti Suzuki Fronx,20706,10752.0
Maruti Suzuki Wagon R,14575,17303.0
Maruti Suzuki Eeco,11899,11678.0
Maruti Suzuki Grand Vitara,8597,7093.0
Maruti Suzuki Victoris,6210,6210.0
Maruti Suzuki Alto,10829,7410.0
Maruti Suzuki Xl,2744,2487.0
Maruti Suzuki Jimny,757,1100.0
Maruti Suzuki Ignis,1910,749.0
Maruti Suzuki Celerio,2272,748.0
Maruti Suzuki S Presso,3396,42350.0
Maruti Suzuki Ciaz,464,
Maruti Suzuki Invicto,514,825.0
Total Total,178646,130115.0
Morris Garage Hector,1147,1373.0
Morris Garage Comet,1143,700.0
Morris Garage Astor,700,412.0
Morris Garage Windsor,3596,3785.0
Morris Garage Zs Ev,502,858.0
Morris Garage Gloster Ie,100,100.0
Total Total,6500,7516.0
Nissan Magnite,1902,2117.0
Total Total,1902,2118.0
Renault Triber,2324,1659.0
Renault Kiger,1152,594.0
Renault Kwid,369,628.0
Total,3845,2881.0
Skoda Kylaq,3668,3668.0
Skoda Kushaq,958,2465.0
Skoda Slavia,1894,1120.0
Skoda Kodiag,230,194.0
Skoda Superb Ie,100,
Skoda Octavia Ie,100,
Total,5567,4554.0
Tata Nexon,19375,13536.0
Tata Punch,15980,15073.0
Tata Tiago,5826,5006.0
Tata Altroz,2871,1866.0
Tata Tigor,1054,488.0
Tata Curw,1104,4994.0
Tata Sierra,291,291.0
Tata Harrier,2378,1307.0
Tata Safari,1446,1385.0
Total,50046,44221.0
Toyota Innova,9901,9700.0
Toyota Glanza,6451,3487.0
Toyota Taisor,4457,2628.0
Toyota Rumion,2727,1775.0
Toyota Hyryder,7022,4770.0
Toyota Fortuner,2961,2206.0
Toyota Hilux,232,170.0
Toyota Camry,200,127.0
Toyota Vellfire,141,124.0
Toyota Lc,300,
Total Total,34159,24887.0
Volkswagen Taigun,1778,2335.0
Volkswagen Golf Ie,100,
Volkswagen Virtus,2378,2257.0
Volkswagen Tiguan,100,195.0
Total,4256,4787.0
